motif	estimatedScale	MSE	optimizedScale	optimizedMSE	motifLength	numberOfKmers
ARF7	0.2838580849763036	4.239013051737426	0.3238580849763036	0.058371364807997525	9.0	198552
ARF8	0.38047116561577926	1.6180465806347188	0.41047116561577923	0.0007857660575001538	6.0	198552
ARG80	0.39067885810011393	1.0621497851215425	0.42067885810011396	0.04125767475736873	6.0	198552
ARG81	0.37626935646683835	0.8569148249170349	0.39626935646683836	0.000555317441246716	7.0	198552
ARGFX	0.15644785261686459	29.36699076885945	0.3164478526168646	0.029315849667100796	8.0	198552
ARNT2	0.2795033648104872	4.549129446144198	0.3195033648104872	0.01588894911454815	8.0	198552
ARNT::HIF1A	0.4119139807934169	5.4673878679837955	0.4819139807934169	0.001735365070823086	5.0	198552
ARO80	0.3111014115261298	4.577202368107165	0.3511014115261298	0.025012391275395215	8.0	198552
ARR1	0.29995346002962603	11.67755616530714	0.37995346002962604	0.0010362188756920555	8.0	198552
ARR10	0.3710881577944279	1.1178804517501135	0.3910881577944279	0.024729333312866836	7.0	198552
ARR11	0.34834816929121426	0.7835929464258833	0.3683481692912143	0.031060217324532593	8.0	198552
ARR14	0.35166819251912024	0.3007125341332068	0.36166819251912025	0.00030654630902150764	8.0	198552
ARR18	0.39232707311713855	1.4231404981674804	0.4223270731171386	0.005156152913054573	7.0	198552
ARR2	0.34072933730308547	2.322887425832707	0.37072933730308544	0.001130247023074729	8.0	198552
AS2	0.1803279134995555	23.21295912682461	0.2503279134995555	0.049776924650395134	18.0	198552
ASCL1	0.282721798616994	8.53195199541717	0.33272179861699397	0.06031274900115825	9.0	198552
ASG1	0.34014635972096424	1.905399499463509	0.3701463597209642	5.435549358508189e-05	6.0	198552
ASH1	0.2749286911790307	5.14982639300608	0.31492869117903066	0.01678282117453891	10.0	198552
ASIL2	0.2488758138965946	12.72489433915595	0.3188758138965946	0.0037433811183990797	9.0	198552
ASR1	0.2643970454935147	5.820546045553148	0.3043970454935147	0.00878793012317816	9.0	198552
ASR3	0.32070087946452486	4.506589362117866	0.36070087946452484	0.0030058974596202962	9.0	198552
AT1G14600	0.22811981023070746	25.30761325909524	0.38811981023070746	0.00022754035610606725	8.0	198552
AT1G19000	0.3041817588360161	4.057401481623391	0.3341817588360161	0.08045487457799783	13.0	198552
AT1G19040	0.2589094607038325	2.5414247316055065	0.2789094607038325	0.00926853570003834	16.0	198552
AT1G72740	0.31213618049837766	1.2443897334835274	0.3321361804983777	0.009474419183460562	11.0	198552
AT1G74840	0.34574533178893935	2.1866195907214174	0.3757453317889393	0.003247263530225472	9.0	198552
AT1G76870	0.36057030628671083	0.93541075074782	0.38057030628671085	1.4026904467898148e-07	8.0	198552
AT2G38090	0.2908634892172998	10.021112617916142	0.3508634892172998	0.00010978623195280761	13.0	198552
AT2G38300	0.3354313259407547	4.862273244069791	0.3854313259407547	0.03581563785949014	10.0	198552
AT2G40260	0.33244257057758736	5.134791908590215	0.38244257057758735	0.010351522094629124	10.0	198552
AT3G10030	0.35399820091999545	0.6553201927385173	0.37399820091999547	0.06859043174022117	8.0	198552
AT3G10580	0.25886131733707224	18.743738098184586	0.34886131733707226	0.028622411745797972	14.0	198552
AT3G46070	0.4063087428741143	1.1216233335653913	0.4263087428741143	0.04386913093804285	7.0	198552
AT4G09450	0.4151973550746857	0.5879244061908019	0.4351973550746857	8.04830487909016e-06	6.0	198552
AT4G12670	0.1766721338197166	10.537780639383033	0.2066721338197166	0.05700798721702779	29.0	198552
AT5G04390	0.4281934754216782	0.3189850985833798	0.4481934754216782	0.021137872871703597	5.0	198552
AT5G04760	0.41351975173422845	0.08941240201671012	0.42351975173422846	0.01672016903763843	7.0	198552
AT5G05090	0.3644495867119382	2.7903647091111665	0.4044495867119382	0.0007960170530811272	7.0	198552
AT5G05550	0.223468385496876	16.568464028082314	0.28346838549687603	0.09963571278831745	11.0	198552
AT5G05790	0.285976679525037	9.081873344305095	0.335976679525037	0.010240166477419058	14.0	198552
AT5G47660	0.3928081682827331	0.7818611714773253	0.4128081682827331	5.740916072593962e-05	7.0	198552
AT5G56840	0.296517953175364	6.768116841785096	0.346517953175364	0.04705337502029541	14.0	198552
AT5G61620	0.29582744570705444	7.917443011495824	0.3458274457070544	2.6120466111796086e-05	14.0	198552
ATF2	0.2859292549254379	1.466723900754819	0.30592925492543793	0.01019808304428707	10.0	198552
ATF3	0.2461966770015141	3.61885116277103	0.27619667700151407	0.11872529390001559	10.0	198552
ATF4	0.325318271062166	1.1550940199918311	0.345318271062166	0.010606705534009445	10.0	198552
ATF6	0.27177282813407916	0.6780749445866459	0.28177282813407917	0.007672015531144457	13.0	198552
ATF7	0.2552956256586167	2.675881132184518	0.2752956256586167	0.013651887343297597	10.0	198552
ATHB-12	0.2790407557843396	13.813173581558734	0.35904075578433964	0.0001222782232558829	8.0	198552
ATHB-13	0.19407890206659031	27.884490893006685	0.3440789020665903	0.03576562044098932	8.0	198552
ATHB-15	0.1949170470103907	23.583690009757138	0.28491704701039067	0.031116869958751275	13.0	198552
ATHB-16	0.2512400568432219	18.04729189957955	0.3412400568432219	0.027901882498900046	8.0	198552
ATHB-20	0.13018923952219721	33.89675734262772	0.32018923952219724	0.007369801010598122	8.0	198552
ATHB-21	0.1996566129752333	24.0284560178759	0.3096566129752333	0.028138664948372236	12.0	198552
ATHB-4	0.21656639580070053	20.32427162288045	0.31656639580070056	0.0019384297597706312	9.0	198552
ATHB-40	0.17979417062505568	29.50005786491829	0.30979417062505565	0.0762549145820197	11.0	198552
ATHB-5	0.2608402627592749	15.002082841424972	0.35084026275927493	0.0011334109891912875	8.0	198552
ATHB-51	0.20515197211401853	24.649677620468466	0.3151519721140185	0.015435466790429378	8.0	198552
ATHB-53	0.1549730208458712	31.24332350280748	0.3149730208458712	0.06516928677672269	9.0	198552
ATHB-6	0.20512025001455558	27.14296232118852	0.3751202500145556	0.0019183450108313101	7.0	198552
ATHB-7	0.25282596915206806	15.837159031393444	0.3328259691520681	0.034695841280134705	11.0	198552
ATHB-9	0.25059875092505196	0.9700894288112396	0.26059875092505197	0.009883915540683498	15.0	198552
ATHB-X	0.20329627998318184	24.536647187664915	0.32329627998318183	0.07722166363139917	9.0	198552
ATMYB31	0.2660694126184862	9.160546426877541	0.3160694126184862	0.0003821704447397741	15.0	198552
ATOH1	0.2929554065826443	1.3677974784882887	0.3129554065826443	0.005157045015316794	10.0	198552
ATOH7	0.2846689890596369	5.485001065817098	0.32466898905963687	0.0024778093559273424	10.0	198552
AZF1	0.3501489263236508	4.048362630979815	0.3901489263236508	0.031050290033746108	9.0	198552
AZF2	0.41261438998345173	4.259175637952142	0.48261438998345174	0.00041456507730923696	4.0	198552
Abd-B	0.20170599786842813	30.17368849043013	0.3717059978684282	0.013395948861497533	7.0	198552
Aef1	0.3384277922793462	0.7487165809845532	0.35842779227934624	0.027728712363363155	8.0	198552
Ahr::Arnt	0.41921355988770787	0.7341487754111992	0.4392135598877079	0.02310834760043926	5.0	198552
Alx4	0.1722128490093579	17.286228289020876	0.2322128490093579	0.10656597771902526	12.0	198552
Antp	0.28564093734324714	8.468317831373612	0.34564093734324713	0.03645592813393825	7.0	198552
Ar	0.2201971670993194	8.064216135145177	0.2501971670993194	0.11298233735650957	16.0	198552
Arid5a	0.15829477047803023	28.56949262528718	0.32829477047803024	0.044096766053689465	8.0	198552
Arnt	0.3499793845309295	0.5367234767029819	0.36997938453092954	0.03087948019349688	6.0	198552
Arntl	0.30312825799051163	4.144270869916894	0.3431282579905116	0.002379752939242895	8.0	198552
Arx	0.1540449974341704	26.996844062169263	0.2640449974341704	0.06430466037257473	10.0	198552
Ascl2	0.2893560156883274	5.362458508993543	0.3293560156883274	0.0003698479864134332	10.0	198552
At3g11280	0.29135738718237747	7.980390681335713	0.34135738718237746	0.027257968420852728	14.0	198552
Atbf	0.1479539759963437	30.859626394502627	0.3679539759963437	0.0019697897060252756	6.0	198552
Atf-2	0.2759409373567938	0.6499645073615226	0.2859409373567938	0.0068207944311909205	11.0	198552
Atf1	0.3510889414843268	0.6601704868311937	0.3710889414843268	0.0656846192763938	8.0	198552
Atf3	0.21969673024468414	7.740889381199036	0.25969673024468415	0.006878981506406015	10.0	198552
Atf6	0.28116987316001174	0.7498172539375101	0.29116987316001175	0.026905406378875084	13.0	198552
Atoh1	0.36788650799739797	0.2932115543575925	0.377886507997398	0.002115011716075121	7.0	198552
Atoh7	0.3622680339626338	2.425704994277306	0.39226803396263377	0.04877362882677306	7.0	198552
Awh	0.3139069102407259	8.45356929042882	0.3739069102407259	0.013779438610656456	7.0	198552
B-H1	0.26733040298001554	17.15939995072371	0.3573304029800155	0.024817176048705657	7.0	198552
B-H2	0.36822257247565193	2.3746461654958937	0.4082225724756519	0.026422037623104265	7.0	198552
BACH1	0.319008860997679	1.7609695826899845	0.339008860997679	0.029427022696995153	9.0	198552
BACH2	0.23319441089280324	2.821830486759801	0.25319441089280326	0.011250305987653322	19.0	198552
BAD1	0.09746088078615028	30.504982785134214	0.2374608807861503	0.0008458684931091592	12.0	198552
BAM8	0.2564370878144245	4.864361609420608	0.28643708781442445	0.04886955698006843	9.0	198552
